"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.termux.window","/home/matheus/smells-issues-nlp/repositories/termux_termux-float/app/src/main/java/com/termux/window/TermuxFloatView.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.termux.window","/home/matheus/smells-issues-nlp/repositories/termux_termux-float/app/src/main/java/com/termux/window/TermuxFloatViewClient.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
