"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"2","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Basic_Graphical_widget.java","3","191","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Area.java","3","96","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Binary.java","3","93","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Binary_New.java","3","89","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Boolean.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Color.java","3","109","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Info.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Info_View.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Info_View.java","3","356","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Info_View.java","3","597","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Info_with_achartengine.java","3","141","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Info_with_achartengine.java","3","424","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_List.java","3","124","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Range.java","3","93","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Room.java","3","99","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_Trigger_Button.java","3","22","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","widgets","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/widgets/Graphical_butler.java","3","39","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/test/java/Entity/Entity_FeatureTest.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
