"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.arnefeil.bewegungsmelder","/home/matheus/smells-issues-nlp/repositories/arnef_bewegungsmelder-android/src/main/java/de/arnefeil/bewegungsmelder/MainActivity.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.arnefeil.bewegungsmelder.adapter","/home/matheus/smells-issues-nlp/repositories/arnef_bewegungsmelder-android/src/main/java/de/arnefeil/bewegungsmelder/adapter/EventAdapter.java","3","41","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.arnefeil.bewegungsmelder.models","/home/matheus/smells-issues-nlp/repositories/arnef_bewegungsmelder-android/src/main/java/de/arnefeil/bewegungsmelder/models/Band.java","3","8","The class 'Band' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","de.arnefeil.bewegungsmelder.models","/home/matheus/smells-issues-nlp/repositories/arnef_bewegungsmelder-android/src/main/java/de/arnefeil/bewegungsmelder/models/Event.java","3","8","The class 'Event' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=30, WMC=30)","Design","DataClass"
"1","de.arnefeil.bewegungsmelder.models","/home/matheus/smells-issues-nlp/repositories/arnef_bewegungsmelder-android/src/main/java/de/arnefeil/bewegungsmelder/models/Link.java","3","6","The class 'Link' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","de.arnefeil.bewegungsmelder.models","/home/matheus/smells-issues-nlp/repositories/arnef_bewegungsmelder-android/src/main/java/de/arnefeil/bewegungsmelder/models/Location.java","3","8","The class 'Location' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
