,name,link,loc,dc,lc,lm,lpl,tmm,smells,issues,bugs,no_bugs
56,pR0Ps/LocationShare,https://github.com/pR0Ps/LocationShare,305,0,0,0,0,1,1,4,0,4
57,dftec-es/planetcon,https://github.com/dftec-es/planetcon,7064,0,2,4,1,6,13,2,0,2
58,saschpe/BirthdayCalendar,https://github.com/saschpe/BirthdayCalendar,2197,1,0,2,0,1,4,4,0,4
59,EvanRespaut/Equate,https://github.com/EvanRespaut/Equate,6580,0,1,4,0,7,12,18,0,18
60,alaskalinuxuser/app_hourglass,https://github.com/alaskalinuxuser/app_hourglass,351,0,0,1,0,1,2,2,0,2
61,Neamar/KISS,https://github.com/Neamar/KISS,8927,3,0,3,0,6,12,80,9,71
62,qqq3/good-weather,https://github.com/qqq3/good-weather,4410,1,0,0,0,1,2,26,0,26
63,TripSit/tripmobile,https://github.com/TripSit/tripmobile,1989,1,0,0,0,4,5,15,1,14
64,y20k/transistor,https://github.com/y20k/transistor,4921,1,2,1,1,5,10,13,3,10
65,geecko86/QuickLyric,https://github.com/geecko86/QuickLyric,13160,2,1,12,0,8,23,24,2,22
66,richsmith/sexytopo,https://github.com/richsmith/sexytopo,10337,0,1,0,0,13,14,47,6,41
67,icechen1/Notable,https://github.com/icechen1/Notable,1668,3,0,1,0,2,6,11,0,11
68,quaap/SeafoodBerserker,https://github.com/quaap/SeafoodBerserker,1621,0,0,1,0,3,4,7,4,3
69,Gittner/OSMBugs,https://github.com/Gittner/OSMBugs,5858,0,0,3,1,1,5,1,0,1
70,oliexdev/openScale,https://github.com/oliexdev/openScale,14701,3,0,5,0,12,20,13,0,13
71,termux/termux-widget,https://github.com/termux/termux-widget,304,0,0,0,0,0,0,19,0,19
72,guardianproject/ripple,https://github.com/guardianproject/ripple,792,0,0,0,0,0,0,1,0,1
73,termux/termux-float,https://github.com/termux/termux-float,604,0,0,0,0,2,2,8,0,8
74,capitoledulibre/cdl-companion-android,https://github.com/capitoledulibre/cdl-companion-android,8400,6,0,3,0,6,15,3,0,3
75,gjedeer/mylocation,https://github.com/gjedeer/mylocation,857,0,0,0,0,1,1,10,0,10
76,SecUSo/privacy-friendly-shopping-list,https://github.com/SecUSo/privacy-friendly-shopping-list,10440,21,0,3,0,4,28,27,4,23
77,vanilla-music/vanilla-music-cover-fetch,https://github.com/vanilla-music/vanilla-music-cover-fetch,571,0,0,0,0,1,1,3,0,3
78,scoute-dich/K9-MailClient,https://github.com/scoute-dich/K9-MailClient,88069,12,21,51,2,114,200,0,0,0
79,veniosg/Dir,https://github.com/veniosg/Dir,10523,1,0,0,0,13,14,33,11,22
80,greenaddress/GreenBits,https://github.com/greenaddress/GreenBits,180407,21,69,78,5,387,560,21,0,21
81,flyve-mdm/android-inventory-agent/,https://github.com/flyve-mdm/android-inventory-agent/,3779,3,0,0,0,0,3,0,0,0
82,marunjar/anewjkuapp,https://github.com/marunjar/anewjkuapp,16987,9,1,10,3,13,36,17,0,17
83,anselm94/Torchie-Android,https://github.com/anselm94/Torchie-Android,3408,0,0,0,1,6,7,11,0,11
84,WangDaYeeeeee/Mysplash,https://github.com/WangDaYeeeeee/Mysplash,46220,24,2,2,0,64,92,39,0,39
85,DecentralizedAmateurPagingNetwork/DAPNETApp,https://github.com/DecentralizedAmateurPagingNetwork/DAPNETApp,3021,8,0,0,0,3,11,4,0,4
86,butzist/ActivityLauncher,https://github.com/butzist/ActivityLauncher,1207,0,0,0,0,0,0,6,0,6
87,francescosoave/TIS_android,https://github.com/francescosoave/TIS_android,326,0,0,0,0,0,0,1,0,1
88,tranquvis/SimpleSmsRemote,https://github.com/tranquvis/SimpleSmsRemote,6797,7,0,2,0,5,14,18,0,18
89,RyuzakiKK/NoteCrypt,https://github.com/RyuzakiKK/NoteCrypt,2369,0,0,1,0,2,3,6,1,5
90,h42i/d00r-app,https://github.com/h42i/d00r-app,765,2,0,0,0,0,2,0,0,0
91,westnordost/StreetComplete,https://github.com/westnordost/StreetComplete,32495,7,0,0,3,36,46,98,6,92
92,linuxtage/glt-companion,https://github.com/linuxtage/glt-companion,8775,6,0,3,0,6,15,1,0,1
93,gentlecat/Simple-Counter/,https://github.com/gentlecat/Simple-Counter/,954,0,0,0,0,3,3,0,0,0
94,thuryn/your-local-weather,https://github.com/thuryn/your-local-weather,16157,7,1,11,1,9,29,29,1,28
95,abrensch/brouter,https://github.com/abrensch/brouter,26888,1,2,30,0,20,53,45,1,44
96,reloZid/android-anuto,https://github.com/reloZid/android-anuto,10698,0,0,0,0,15,15,21,0,21
97,VREMSoftwareDevelopment/WifiAnalyzer,https://github.com/VREMSoftwareDevelopment/WifiAnalyzer,17247,1,0,1,0,22,24,10,1,9
98,domogik/domodroid,https://github.com/domogik/domodroid,23131,10,7,44,6,10,77,62,12,50
99,mikifus/padland,https://github.com/mikifus/padland,4519,0,0,1,0,5,6,8,0,8
