repository,state,closed_at,title,label,is_bug,body
fenimore/DemocracyDroid,closed,2017-02-11 16:57:43,Play music in the background,"[Label(name=""enhancement""), Label(name=""help wanted"")]",0,"Use a service to play music 
- Include a control in the nav bar"
fenimore/DemocracyDroid,closed,2017-07-03 19:26:44,Add Spanish Language Feed,"[Label(name=""enhancement"")]",0,
fenimore/DemocracyDroid,closed,2018-05-27 14:20:39,cancel downloads,"[Label(name=""enhancement""), Label(name=""help wanted"")]",0,
fenimore/DemocracyDroid,closed,2017-02-04 15:56:50,refresh download list on start download,"[Label(name=""enhancement"")]",0,
fenimore/DemocracyDroid,closed,2017-01-13 23:13:18,reverse sort of downloads,"[Label(name=""enhancement"")]",0,
fenimore/DemocracyDroid,closed,2017-01-13 23:06:54,Crash on stream,"[Label(name=""bug"")]",1,
fenimore/DemocracyDroid,closed,2016-10-31 01:58:26,Scroll on Swipe down,"[Label(name=""enhancement"")]",0,
fenimore/DemocracyDroid,closed,2016-09-16 23:53:12,"When switching fast between tabs, stories feed loads over and over","[Label(name=""bug"")]",1,
fenimore/DemocracyDroid,closed,2016-09-16 23:53:26,listview won't all click after returning from item,"[Label(name=""bug"")]",1,"1. Click stream 
2. Return with homeasup
3. Reclick same episode
"
fenimore/DemocracyDroid,closed,2016-09-17 00:51:41,Videoview playback restarts on screen lock,[],0,"see this question:
http://stackoverflow.com/questions/18262749/videoview-restarts-playback-on-lock-screen
"
fenimore/DemocracyDroid,closed,2016-09-01 00:01:51,"Android 6, video seeks doesn't work as expected","[Label(name=""bug"")]",1,"After I updated to 6, when I rotate device, it restarts video... mhmmm.
"
fenimore/DemocracyDroid,closed,2016-09-16 22:09:35,Download Tab Padding is Offset,"[Label(name=""bug"")]",1,
fenimore/DemocracyDroid,closed,2016-09-17 00:17:16,Video View Toolbar Toggles,"[Label(name=""enhancement""), Label(name=""help wanted"")]",0,"Videoview toolbar should fade out with the Media Controller instead of toggling. See stackoverflow:
http://stackoverflow.com/questions/38909770/hide-and-show-toolbar-on-mediacontroller-show-and-hide
"
fenimore/DemocracyDroid,closed,2016-08-23 23:09:23,Live stream link changed,"[Label(name=""bug"")]",1,"So version 2.3.1 should fix this, but I keep missing the opportunity to test the fix.
"
fenimore/DemocracyDroid,closed,2016-08-13 20:11:53,Audio link is offset,"[Label(name=""bug"")]",1,"This is a mess...
"
fenimore/DemocracyDroid,closed,2016-08-10 14:39:41,IndexOutOfBounds error,"[Label(name=""bug"")]",1,"Seemingly random crashes happen. I think it has something to do with the way tabs positions are sent around. Hard to reproduce, but it';ll crash if you mess around enough (switching between tabs frantically).
"
fenimore/DemocracyDroid,closed,2016-08-01 02:25:56,Download of non-daily episode won't show up in download feed,"[Label(name=""bug"")]",1,"This is potentially really bad. How should I fix it?
"
fenimore/DemocracyDroid,closed,2016-09-16 23:53:19,listview duplicates on tab switch,"[Label(name=""help wanted"")]",0,
fenimore/DemocracyDroid,closed,2016-08-10 14:39:07,todays broadcast shows before available,"[Label(name=""bug"")]",1,
fenimore/DemocracyDroid,closed,2016-04-25 01:12:18,Refresh,[],0,"adds to listview infinitely.... yikes, resets when the screen changes orientation
"
fenimore/DemocracyDroid,closed,2016-04-11 13:21:29,Audio Downloads,"[Label(name=""bug"")]",1,"Audio downloads don't work... ???
"
fenimore/DemocracyDroid,closed,2015-05-08 20:53:53,volume crashes in vlc,[],0,"When using VLC player, if I change the volume on my device, the application crashes. This could be (1) my device (2) my version vlc (3) both of above
The fix is to use the internal VLC volume control.
"
