repository,state,closed_at,title,label,is_bug,body
scoute-dich/K9-MailClient,closed,2017-12-27 20:59:55,Update k9 base code to version 5.208,[],0,"Hi,
since this fork appears not to be updated any more, I decided to try and update the underlying k-9 code to (at least) version 5.208, which includes some doze-related fixes.

I don't really know what I am doing, so please feel free to correct if I did something wrong / nonsensical. But at least on my computer the apk builds and it runs on my phone, so it seems that I must have done something right."
scoute-dich/K9-MailClient,closed,2017-07-25 20:00:22,Update README.md,[],0,
scoute-dich/K9-MailClient,closed,2017-06-02 19:14:26,swap read/unread colors,[],0,"So, I fired Android Studio up and used my rusty Android skills to patch #27 myself.

This fixes #27 by solely swapping the unread/read status background colors.
"
scoute-dich/K9-MailClient,closed,2017-04-25 18:48:13,Update README.md,[],0,Fix a typo
scoute-dich/K9-MailClient,closed,2017-03-21 16:32:58,Change readme,[],0,
scoute-dich/K9-MailClient,closed,2017-03-21 16:32:33,Change app name and change notice,[],0,"The license does not require us to add ""(unofficial)"" or anything related to that and it makes the app name unnecessarily long in most launchers."
scoute-dich/K9-MailClient,closed,2016-11-29 17:37:55,Update actionbar_custom.xml,[],0,Expose hard coded values
scoute-dich/K9-MailClient,closed,2016-11-29 17:37:41,Update colors.xml,[],0,Added value to expose hard coded values
scoute-dich/K9-MailClient,closed,2016-09-25 14:26:17,"Change the name to allow side-by-side installation and, possibly, F-D…",[],0,"…roid inclusion
"
