repository,state,closed_at,title,label,is_bug,body
T-Rex96/Easy_xkcd,open,,WebView scroll position lost after device rotation,[],0,"Steps to reproduce:
1. Open What if?
2. Click any article in the list
3. Scroll the article
4. Rotate device

Scroll position should persist after rotation, however, it get lost. It's annoying because user has to manually scroll to the expected position every time screen orientation change.

![screen shot 2018-04-12 at 11 19 56 pm](https://user-images.githubusercontent.com/38213896/38686917-10a0cc3e-3ea8-11e8-9238-be846e2baa36.png)
Screenshot before rotation


![screen shot 2018-04-12 at 11 20 07 pm](https://user-images.githubusercontent.com/38213896/38686923-17fb8fc8-3ea8-11e8-9421-fe1994b4b03a.png)
Screenshot after rotation."
T-Rex96/Easy_xkcd,closed,2018-06-01 11:50:35,Add adaptive icon,[],0,"Fixed #124 

I just see that the image I used has too low resolution. Can you send me the image you used for the icon?"
T-Rex96/Easy_xkcd,closed,2018-03-25 09:54:16,Add Simplified Chinese translation,[],0,"Yet another translation.
The file is exported from stringlate. The order is different from the original file. Hope it can work well.
Some items didn't contain translation because of [this](https://github.com/LonamiWebs/Stringlate/issues/184).
I'll update these missing items after stringlate fix that issue. Or I may just simply use editor to add translation for these items."
T-Rex96/Easy_xkcd,closed,2018-11-25 07:51:34,'Earliest Unread Comic' button crashes app when all comics are read.,[],0,"First off, great app! I use it every day!

So, I recently had a quest to ensure I haven't ever missed an XKCD comic. As part of that process, I repeatedly used the 'Earliest Unread Comic' button on the main list to page to any comic I hadn't read inside the app. This afternoon, I was sure to have read them all, and pressing the 'Earliest Unread Comic' button crashed the app.

I was only able to get part of the stacktrace, but hopefully this should help.
![stacktrace partial](https://user-images.githubusercontent.com/2546219/36447191-99d128d4-1651-11e8-8e08-063a54180e46.png)

I was looking through the code to see if I could fix it simply through a PR, but the bug seems to be actually bubbling up from the [Realm](https://realm.io/) Java library. Any ideas?"
T-Rex96/Easy_xkcd,closed,2018-06-01 11:50:35,FR: Adaptive icon,[],0,"Api 26 introduced adaptive icons where background and foreground are two different images.
https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive.html"
T-Rex96/Easy_xkcd,open,,Black bar in bottom area on every comic,[],0,"An example: https://i.imgur.com/j4mQZih.jpg

Using Android Oreo on OxygenOS 5.0/OnePlus 5"
T-Rex96/Easy_xkcd,closed,2018-11-24 23:34:09,Crashes When trying to like comic,[],0,Every time I'm trying to like a comic the app force closes. Running Oreo on a OnePlus 5 (Stock OxygenOS)
T-Rex96/Easy_xkcd,open,,Crashes when tapping on the donate button,[],0,"When I enable the donate button in the F-Droid version and try to use it, it crashes.

BTW as for domains you may check out https://liberapay.com/. It is made for floss software.
"
T-Rex96/Easy_xkcd,closed,2017-12-23 10:07:31,Add menu option to mark all comics as read,[],0,
T-Rex96/Easy_xkcd,closed,2017-12-23 09:54:39,Adding spanish translation,[],0,Hi! I've translated the app to spanish language.
T-Rex96/Easy_xkcd,closed,2017-12-01 13:02:15,Version 6.0.2 is mistagged as release_6.2.0,[],0,Could you please fix tag (6.2.0 🡒 6.0.2)? It causes F-Droid failure: https://f-droid.org/wiki/page/de.tap.easy_xkcd/lastbuild_141
T-Rex96/Easy_xkcd,closed,2017-11-24 18:01:34,App does not load comics on KitKat,[],0,"When launching easy_xkcd on my Asus Padfone 2 with 4.4.2 KitKat, the app does not show any comics, just a white screen and the share(?) symbol in the lower right corner. Clicking the icon displays a toast saying ""No connection"".
I can open the settings menu and enable ""Launch to Overview Mode"", which will then - on next launch - open the ""Comics loading"" fragment for a short time. Then it changes to the overview, displaying comics 1 to 1645. Clicking on any comic does yield the white screen again.

The bug is somewhat reproduceable using a Virtual Device, although the exception that is thrown differs on the Virtual Device. The root of the problem seems to be the same, though.

Error thrown on App Start in Virtual Device (4.4,2 KitKat):
`11-15 19:55:47.635 2341-2359/de.tap.easy_xkcd W/System.err: java.net.ConnectException: Failed to connect to xkcd.com/2a04:4e42:600::67:443
11-15 19:55:47.635 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.io.RealConnection.connectSocket(RealConnection.java:142)
11-15 19:55:47.635 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.io.RealConnection.connect(RealConnection.java:111)
11-15 19:55:47.635 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.StreamAllocation.findConnection(StreamAllocation.java:188)
11-15 19:55:47.655 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.StreamAllocation.findHealthyConnection(StreamAllocation.java:127)
11-15 19:55:47.655 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.StreamAllocation.newStream(StreamAllocation.java:97)
11-15 19:55:47.655 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.HttpEngine.connect(HttpEngine.java:289)
11-15 19:55:47.665 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.HttpEngine.sendRequest(HttpEngine.java:241)
11-15 19:55:47.675 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall.getResponse(RealCall.java:240)
11-15 19:55:47.675 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall$ApplicationInterceptorChain.proceed(RealCall.java:198)
11-15 19:55:47.675 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall.getResponseWithInterceptorChain(RealCall.java:160)
11-15 19:55:47.675 2341-2359/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall.execute(RealCall.java:57)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at de.tap.easy_xkcd.utils.JsonParser.getJSONFromUrl(JsonParser.java:45)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at de.tap.easy_xkcd.fragments.comics.ComicBrowserFragment$updateNewest.doInBackground(ComicBrowserFragment.java:151)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at de.tap.easy_xkcd.fragments.comics.ComicBrowserFragment$updateNewest.doInBackground(ComicBrowserFragment.java:128)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at android.os.AsyncTask$2.call(AsyncTask.java:288)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at java.util.concurrent.FutureTask.run(FutureTask.java:237)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:231)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
11-15 19:55:47.685 2341-2359/de.tap.easy_xkcd W/System.err:     at java.lang.Thread.run(Thread.java:841)`

Error thrown on Padfone 2 (4.4.2 KitKat):
`11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: javax.net.ssl.SSLHandshakeException: javax.net.ssl.SSLProtocolException: SSL handshake aborted: ssl=0x613fb730: Failure in SSL library, usually a protocol error
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: error:1407742E:SSL routines:SSL23_GET_SERVER_HELLO:tlsv1 alert protocol version (external/openssl/ssl/s23_clnt.c:741 0x5d817d74:0x00000000)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at com.android.org.conscrypt.OpenSSLSocketImpl.startHandshake(OpenSSLSocketImpl.java:448)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.io.RealConnection.connectTls(RealConnection.java:195)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.io.RealConnection.connectSocket(RealConnection.java:148)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.io.RealConnection.connect(RealConnection.java:111)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.StreamAllocation.findConnection(StreamAllocation.java:188)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.StreamAllocation.findHealthyConnection(StreamAllocation.java:127)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.StreamAllocation.newStream(StreamAllocation.java:97)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.HttpEngine.connect(HttpEngine.java:289)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.internal.http.HttpEngine.sendRequest(HttpEngine.java:241)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall.getResponse(RealCall.java:240)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall$ApplicationInterceptorChain.proceed(RealCall.java:198)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall.getResponseWithInterceptorChain(RealCall.java:160)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at okhttp3.RealCall.execute(RealCall.java:57)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at de.tap.easy_xkcd.utils.JsonParser.getJSONFromUrl(JsonParser.java:45)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at de.tap.easy_xkcd.fragments.comics.ComicBrowserFragment$updateNewest.doInBackground(ComicBrowserFragment.java:151)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at de.tap.easy_xkcd.fragments.comics.ComicBrowserFragment$updateNewest.doInBackground(ComicBrowserFragment.java:128)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at android.os.AsyncTask$2.call(AsyncTask.java:288)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at java.util.concurrent.FutureTask.run(FutureTask.java:237)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:231)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at java.lang.Thread.run(Thread.java:841)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: 	Suppressed: javax.net.ssl.SSLHandshakeException: javax.net.ssl.SSLProtocolException: SSL handshake aborted: ssl=0x613fb730: Failure in SSL library, usually a protocol error
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: error:1407742E:SSL routines:SSL23_GET_SERVER_HELLO:tlsv1 alert protocol version (external/openssl/ssl/s23_clnt.c:741 0x5d817d74:0x00000000)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: 		... 22 more
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: 	Caused by: javax.net.ssl.SSLProtocolException: SSL handshake aborted: ssl=0x613fb730: Failure in SSL library, usually a protocol error
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err: error:1407742E:SSL routines:SSL23_GET_SERVER_HELLO:tlsv1 alert protocol version (external/openssl/ssl/s23_clnt.c:741 0x5d817d74:0x00000000)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at com.android.org.conscrypt.NativeCrypto.SSL_do_handshake(Native Method)
11-16 02:04:06.144 11157-11197/de.tap.easy_xkcd W/System.err:     at com.android.org.conscrypt.OpenSSLSocketImpl.startHandshake(OpenSSLSocketImpl.java:405)
11-16 02:04:06.154 11157-11197/de.tap.easy_xkcd W/System.err: 		... 21 more
11-16 02:04:06.154 11157-11197/de.tap.easy_xkcd W/System.err: Caused by: javax.net.ssl.SSLProtocolException: SSL handshake aborted: ssl=0x613fb730: Failure in SSL library, usually a protocol error
11-16 02:04:06.154 11157-11197/de.tap.easy_xkcd W/System.err: error:1407742E:SSL routines:SSL23_GET_SERVER_HELLO:tlsv1 alert protocol version (external/openssl/ssl/s23_clnt.c:741 0x5d817d74:0x00000000)
11-16 02:04:06.154 11157-11197/de.tap.easy_xkcd W/System.err:     at com.android.org.conscrypt.NativeCrypto.SSL_do_handshake(Native Method)
11-16 02:04:06.154 11157-11197/de.tap.easy_xkcd W/System.err:     at com.android.org.conscrypt.OpenSSLSocketImpl.startHandshake(OpenSSLSocketImpl.java:405)
11-16 02:04:06.154 11157-11197/de.tap.easy_xkcd W/System.err: 	... 21 more`

I'd appreciate any help on this problem,
thanks!"
T-Rex96/Easy_xkcd,closed,2017-11-22 16:19:26,1913 should not be inverted in night mode,[],0,"IMHO today's comic should not be inverted. It had a big yellow area, which looks a big bad in not."
T-Rex96/Easy_xkcd,closed,2017-11-20 13:23:10,Version 6.0 on Play Store?,[],0,"There's a version 6.0 of Easy xkcd on Play Store for quite a while now but it's neither on here nor on F-Droid.

What is going on?"
T-Rex96/Easy_xkcd,open,,No comics are shown when blocked via firewall,[],0,"I use afwall+ to block easyxkcd from using cellular internet. Wifi is allowed and i have enabled offline mode.
When i am not on wifi easyxkcd searches for new images and as result no comics are shown"
