repository,state,closed_at,title,label,is_bug,body
greenaddress/GreenBits,closed,2018-06-12 13:29:10,Fix qrcodes for bech32 sending,[],0,
greenaddress/GreenBits,closed,2018-06-12 09:00:56,Don't fall through to BIP70 logic when sending non-BIP70 txs,[],0,This prevents (otherwise harmless) errors in the log.
greenaddress/GreenBits,closed,2018-06-08 09:28:58,Don't pre-check the amount against the dust threshold when sending all,[],0,
greenaddress/GreenBits,closed,2018-06-06 13:55:16,Include nlocktime in the reset description,[],0,
greenaddress/GreenBits,closed,2018-06-05 11:50:20,Two factor reset,[],0,Add support for the two factor reset/dispute process using the new backend APIs.
greenaddress/GreenBits,closed,2018-06-14 08:24:42,'android.enableAapt2' should be set to true by default,[],0,"'android.enableAapt2' should be set to true by default

This may require removing the Circular Button lib or forking/upgrading it. "
greenaddress/GreenBits,open,,Flipping orientation in the Receive activity creates a new address,[],0,Go to the Receive activity. Create a new address. Flip the orientation of the device and address changes.
greenaddress/GreenBits,closed,2018-05-26 19:00:58,Misc updates,[],0,"- Native Bech32 sending
- Improved HW Wallet support
- Show system messages
- BIP 70 improvements
- Updates and bug fixes"
greenaddress/GreenBits,closed,2018-04-20 12:13:58,Remove wally source,[],0,
greenaddress/GreenBits,closed,2018-05-26 17:09:25,Clientside BIP70,[],0,"Clientside BIP70 implementation
Only one question: elements and BIP70?"
greenaddress/GreenBits,closed,2018-03-29 21:14:11,Hardware wallet updates,[],0,"- remove support for keepkey
- update min version of trezor to 1.6.0 (note: 1.6.1 is released but not via the Android Trezor manager yet)"
greenaddress/GreenBits,closed,2018-03-15 12:22:40,Fix testnet post-sending crash,[],0,
greenaddress/GreenBits,open,,"Can't login into wallet, pin get asked in loop ",[],0,"
I'm trying to access my wallet but when I enter my pin on use the fingerprint scanner it doesn't work. it keeps asking me my pin even if it was right. 
Here's what happens :
![videotogif_2018 01 19_23 03 19](https://user-images.githubusercontent.com/13220181/35173836-364d6720-fd6d-11e7-9706-d5d06411a4a8.gif)

I'm using a One Plus 3 running android 8"
greenaddress/GreenBits,closed,2018-01-11 23:52:07,How are Green Bits' Segwit addresses derived?,[],0,"I understand from here [https://github.com/greenaddress/GreenBits/issues/269] that Green Bits does not support BIP49. But how are the Segwit addresses for a ""normal"" (non-multisig) Green Bits installation derived?"
greenaddress/GreenBits,closed,2018-01-11 23:56:30,Showing mnemonic should require 2FA when enabled,[],0,"Someone can just show the mnemonic and sidestep 2FA altogether.

Same thing with the PIN, when a PIN is set it's not asking for it before showing the mnemonic.

For the business use I have I'd actually need a separate password to enabling showing the mnemonic.

I want to limit access to the bitcoin to this physical device."
greenaddress/GreenBits,closed,2018-01-11 23:52:46,sms 2FA non sending any more sms... What can a user do?,[],0,"what can be the possible origin of the problem if sms are not arriving any more?

...and which the solution for a user who cannot even disable 2FA not receiving the sms?"
greenaddress/GreenBits,closed,2017-12-16 08:45:45,Fix finding change outputs for send to subaccounts with change,[],0,"If we send to a subaccount and the tx includes change, then bump the transaction, we may inadvertently increase the wrong output depending on which subaccount has generated more addresses.

Fix this by only considering outputs paying to the current subaccount as change. In the event we have more than one, the existing logic to choose the higher address pointer is the correct way to determine which one is change."
greenaddress/GreenBits,closed,2017-12-16 08:48:25,User setting to disable RBF is not respected,[],0,Transactions are opted in for RBF regardless of the users settings.
greenaddress/GreenBits,closed,2017-12-16 08:48:25,Fix handling of users RBF setting,[],0,Fixes #300
greenaddress/GreenBits,closed,2017-12-12 20:07:11,Two factor warning,[],0,
greenaddress/GreenBits,closed,2017-12-11 13:25:49,Add warning for having a single two factor authentication method,[],0,
greenaddress/GreenBits,closed,2018-11-26 10:52:46,[UI] Make it clear that the tx hash can be clicked,[],0,Right now there is no indication that by clicking the tx hash a block explorer can be opened with it. Either make it clear on the text or on a small button near it
greenaddress/GreenBits,closed,2017-12-01 19:45:48,fee cut in half,[],0,"i'm not sure if this is a problem with only custom fees or also with the other fee options.
I was trying out greenbits today and sent a transaction where i put 270000 sat/Kb as my custom fee.
That fee was cut in half on the transaction, here is the hash: fbbaa43c51ee75441e5e787e45a3cbbaf898b7e19768191f9cc052eb0536b7b1

I believe this is a problem related to segwit enabled transactions, because a friend of mine reported the same issue on his Ledger wallet, while this never happened to him before the upgrade of the wallet.

Also, please change the display to sat/B :)"
greenaddress/GreenBits,open,,"Unclear ""insufficient funds"" message",[],0,"If I have too many output transactions to be confirmed, perhaps I have all the outputs being used in unconfirmed transactions and if I try to send another transaction it will say, ""Insufficient funds"", even though I clearly have funds that will become available when the change outputs are confirmed.
The message could be more clear in this cases.
 "
