files,language,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=2.59 s (88.8 files/s, 7342.8 lines/s)"
139,Java,1926,858,10440
88,XML,384,123,5018
1,Bourne Again Shell,19,20,121
1,DOS Batch,24,2,64
1,IDL,2,0,15
